track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,isrc
1jJvNlkbQmtRpG9uIUpiYA,0.438,0.439,0.883,0.0175,9,0.0949,-7.616,1,0.36,158.714,0.375,GB9TP2000366
6JuEshIRliNXRU1LXctRjZ,0.23,0.622,0.448,0.0,0,0.102,-10.709,1,0.0265,106.085,0.553,USCA29000609
7vcNp4cj4uF4AyX5aKY4Ps,0.189,0.74,0.798,0.00128,0,0.305,-6.55,1,0.146,119.964,0.571,GBCEL1300468
1SlxMFZexm81T0tUK6mwni,0.0135,0.394,0.784,0.0,10,0.216,-5.902,0,0.132,161.95,0.341,USEP42231004
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,1,0.0995,-5.23,1,0.0747,148.033,0.236,USIR20400274
5cZqsjVs6MevCnAkasbEOX,0.0128,0.432,0.884,0.000457,8,0.166,-6.657,1,0.128,108.835,0.619,USIR19902309
4qYvkWQqCcIWEBWekegE4y,0.00181,0.567,0.726,3.06e-06,0,0.103,-6.715,1,0.0548,178.09,0.715,GBBPW1900277
2Y5AkPcCKN01ck6xDtOnoJ,0.0301,0.519,0.873,0.0,6,0.276,-3.555,0,0.0393,108.246,0.241,USUM71306187
2mQNBBeUUjzkEyQFibqePn,0.00516,0.621,0.54,0.000712,2,0.161,-8.055,1,0.0663,114.982,0.0398,USMTD2000192
0rQ04MNZfVfIJYhvm6EG8I,0.037,0.825,0.643,0.0,11,0.101,-7.526,0,0.052,129.932,0.693,QZNWW2013846
0I49aN2b9qfw1UWtctmNtr,0.0849,0.706,0.803,0.0354,0,0.0678,-5.874,0,0.0339,118.988,0.482,QM4TW2488735
2ghSaPTZNyvntrHYB8cPew,0.0638,0.654,0.697,3.13e-05,10,0.109,-10.136,0,0.141,103.03,0.568,CA21O1200004
1PtQJZVZIdWIYdARpZRDFO,0.719,0.629,0.545,0.00308,10,0.0604,-13.123,0,0.0546,108.376,0.194,GBCNR8500002
3d5z2JmzB2W97ERw1Q09f0,0.00179,0.592,0.727,0.00089,11,0.184,-6.457,0,0.0291,137.959,0.432,GBBPW2200170
0jGAm66ie0uOt7bYmXG64f,0.0973,0.298,0.636,0.154,7,0.107,-5.981,1,0.04,94.088,0.193,GBK3W2001630
2fEhqGeXcGiJs3WmqysJ8X,0.00715,0.569,0.681,4.41e-05,0,0.117,-8.506,1,0.0354,120.06,0.227,QZFQE2200004
53iuhJlwXhSER5J2IYYv1W,0.265,0.726,0.598,0.0,5,0.102,-5.179,1,0.0291,123.921,0.519,USUG12506436
6EUjksHprxyLw7dbNZtACA,0.0115,0.463,0.884,1.89e-05,1,0.0954,-5.159,1,0.0343,149.048,0.578,GBAYE2501216
3cZajhyr8LmtPfHZ9296tj,0.34,0.767,0.834,0.111,1,0.0901,-7.415,0,0.0315,130.999,0.962,USAT22504362
7qjZnBKE73H4Oxkopwulqe,9.37e-05,0.436,0.723,8.82e-05,1,0.0929,-2.291,1,0.0301,92.855,0.235,USWB12405502
4lC5STpnrBm7aXMls2zGqJ,0.0188,0.459,0.46,0.000357,4,0.108,-8.372,1,0.0289,98.367,0.0547,GBUM72504041
55lijDD6OAjLFFUHU9tcDm,0.0599,0.39,0.781,0.0,8,0.14,-7.04,1,0.0918,115.939,0.628,QMFME2535037
1CPZ5BxNNd0n0nF4Orb9JS,0.0966,0.651,0.686,0.0,4,0.185,-4.371,0,0.0616,122.715,0.104,QZ8BZ2513510
1GpM5w7maS7MGVkZdg6jPE,0.136,0.689,0.503,0.0,9,0.586,-8.277,0,0.0416,122.068,0.481,GB5KW2501370
1WwQ714xuznu44tEnkem2g,0.00172,0.702,0.822,0.00321,8,0.244,-3.077,0,0.0419,138.18,0.31,CA5KR2603887
12bYYQaLqHliSXvRIYlq8G,0.0541,0.786,0.713,0.0,5,0.133,-6.193,1,0.0327,102.997,0.876,USAT22509144
3obedb2fnHaTE8bPlr9TNK,0.4,0.318,0.568,0.000238,5,0.21,-4.261,1,0.0317,68.506,0.213,USAT22508695
3LmlegS3av5opwiIMVDbgI,6.07e-05,0.679,0.788,2.1e-06,5,0.0783,-9.361,0,0.0509,126.998,0.319,TCADT1876101
6qqrTXSdwiJaq8SO0X2lSe,0.739,0.446,0.682,9.51e-06,2,0.0562,-6.229,1,0.0497,112.252,0.382,USAT22500463
7qLc5KYxAvBPgjUkqUozVn,0.00566,0.572,0.715,0.0106,1,0.251,-6.591,0,0.0287,125.083,0.624,GBCEL2400958
3n3rG8qFRwBgl0N7LzNeem,0.000235,0.589,0.788,0.0137,7,0.0845,-5.851,1,0.0348,133.973,0.552,GBCEL2400968
4o4uaxD9uSqnSzvig1qYTs,0.687,0.529,0.557,0.0,0,0.181,-7.613,0,0.116,86.688,0.565,GBARL2500556
5UWwZ5lm5PKu6eKsHAGxOk,5.99e-05,0.413,0.881,0.000308,11,0.0805,-5.541,0,0.0367,158.066,0.364,USRW29600011
1o82DwNisONAd2mu1RcGE6,0.969,0.34,0.245,0.0992,9,0.0633,-13.352,1,0.0319,103.777,0.192,GBUM72206760
4kAnrSFanaSI2zpzRPOy0F,0.0085,0.521,0.823,0.0599,8,0.208,-5.317,0,0.0336,126.041,0.591,GXCT62400006
7G5xEOORkAAUhx6wjTRb26,0.000114,0.399,0.975,0.000624,7,0.152,-5.237,1,0.0991,171.971,0.319,GBBKS0200646
1SjrfoUnv55TSi3m7EJLli,0.00039,0.397,0.981,0.000204,6,0.127,-4.866,0,0.163,160.263,0.234,GBDNH0400383
7DXGKFjM7GNkJd32oXstGY,0.0049,0.739,0.97,1.06e-06,5,0.273,-4.885,0,0.118,131.003,0.519,USUM71106448
7CiZj5S4E5FVboR0yLVLzc,0.0258,0.425,0.894,1.56e-06,10,0.0996,-4.991,0,0.0762,115.412,0.171,UKPJQ1900018
5qfUHPJTEINmlf990O9NqB,0.000235,0.59,0.805,0.538,0,0.247,-5.647,1,0.0338,150.976,0.769,UKJ7P2000024
68FuXWn3fGYMB7sJzdRHPz,4.02e-06,0.111,0.843,0.409,2,0.136,-4.645,1,0.0613,190.747,0.149,USMV20500178
0MXmiqd7zoXxv6Gqn9ahhQ,0.026,0.551,0.839,0.0,4,0.0935,-4.134,0,0.028,131.043,0.604,GBBKS2400083
27w0RH5IDt6xU3B2j7QOuy,0.000114,0.353,0.875,1.13e-06,1,0.361,-5.14,0,0.0343,76.003,0.424,GBBKS2400088
3lfkTqCzn3UiaxmBbP6UEz,0.771,0.427,0.357,0.00756,0,0.11,-7.782,1,0.0357,102.908,0.251,GBCAD2401316
4Uiw0Sl9yskBaC6P4DcdVD,9.91e-06,0.206,0.965,0.827,1,0.367,-5.116,1,0.079,92.615,0.168,USMV29700147
0oeEqyEAavgPfFxDYvjAP6,0.0351,0.646,0.602,0.819,5,0.0635,-11.316,0,0.0281,131.994,0.662,GBAAA9800345
3FtYbEfBqAlGO46NUDQSAt,0.0709,0.763,0.803,0.285,1,0.348,-3.713,1,0.0351,103.04,0.561,USSM10702131
5W8YXBz9MTIDyrpYaCg2Ky,0.000481,0.589,0.89,0.00082,4,0.201,-3.719,0,0.06,90.586,0.687,USDW10021712
1o1x4gUntwc9sqeMDWR9eE,0.00875,0.919,0.543,0.0,8,0.104,-2.609,1,0.348,138.889,0.856,GBUM71207987
0y6CoVW1ZSBqRmPbyfhFQs,0.236,0.708,0.872,0.0661,11,0.108,-6.719,1,0.0336,140.063,0.742,GBCEN2200053
42VUCXerQ5qTr4Qp6PhKo4,0.0204,0.699,0.876,0.000105,0,0.0307,-4.855,1,0.0514,113.036,0.485,USUM72504355
4QpGrDM7EsvbeaZ5G1Nu3j,0.213,0.603,0.956,0.0,7,0.471,-6.006,1,0.4,129.979,0.419,TCAEO1960473
62ZspgOi379ykrVuC3GRBJ,0.00335,0.388,0.702,9.61e-06,6,0.472,-5.506,1,0.0422,122.996,0.412,GBUM72503675
26vIeRYFA2Nh56W4jfkjp5,0.00794,0.904,0.595,0.697,6,0.0948,-6.028,0,0.0774,129.93,0.794,GBAHS2501582
3wEAaX6X3HCKrN3O2xmVQD,0.531,0.22,0.58,0.00181,3,0.268,-7.624,1,0.0477,95.71,0.382,USAT22600028
3v1d12O8WEj5H9eFID7HBn,0.000101,0.68,0.656,4.72e-05,1,0.107,-3.966,1,0.0314,134.029,0.229,USRC12502323
4h9x2ICDsuzxMwSJCkliLp,0.834,0.337,0.538,0.918,0,0.534,-12.032,1,0.0545,97.314,0.224,CACQ21107512
1wxpvuXrmx18gKm8AXeeCN,0.000337,0.556,0.865,7.55e-06,6,0.441,-5.694,0,0.0346,123.997,0.413,UKJ7P2000035
41MKI9RK2ltNcQF24dYLMW,0.00335,0.489,0.834,4.32e-06,8,0.267,-6.476,1,0.0436,133.97,0.312,UKJ7P2000001
6h0UKzcHd8s5xjFIghKOHK,0.0842,0.809,0.685,0.918,4,0.0641,-10.194,0,0.0864,123.498,0.231,QZDA71848562
73GeJojHqKJP8oHafhKxh6,0.00425,0.62,0.852,0.0,4,0.103,-4.737,0,0.035,116.974,0.236,GBK3W1000202
7cucVWdmNeaPJuo7WkxaZ8,0.000292,0.392,0.973,2.35e-05,9,0.348,-5.02,1,0.0733,176.977,0.6,USBQU1800212
2MqtHEaoMmfVMe3gjg7rQz,0.0126,0.555,0.992,0.0,2,0.106,0.715,1,0.229,174.916,0.631,GBPVV2406399
4KVYz4U1Vm3pvjhhhS1E6s,0.143,0.808,0.702,0.0036,4,0.105,-7.365,1,0.0303,123.014,0.67,GBCEL2400960
0XMO3PiZ4gtXRvIJCgHsLl,0.326,0.707,0.563,0.13,9,0.108,-7.48,1,0.0338,81.508,0.436,GBCEL2400964
5cghqtgljxpGJ1XeXAIK4p,0.000225,0.496,0.887,0.0384,11,0.0885,-4.533,1,0.056,91.074,0.633,GBAHS1300101
5IXA8J6Xugs507nAzwSa5F,0.00144,0.58,0.828,0.00927,7,0.0983,-4.713,1,0.0305,101.984,0.359,GBUM72305555
7fHqVBM914EJjzujOnUBFz,0.232,0.652,0.909,0.0325,9,0.16,-7.766,1,0.408,126.92,0.397,QMPKX1471699
4Dr5pBJktWX8aZckCznE6q,0.00627,0.813,0.913,0.195,9,0.111,-4.456,0,0.05,127.989,0.877,GBCFB2400445
51c94ac31swyDQj9B3Lzs3,0.000249,0.269,0.853,0.000246,7,0.118,-4.647,0,0.0854,141.581,0.179,USMV20000039
1mgIlvtm1aQr6ei17gDALV,0.0139,0.427,0.958,0.0121,6,0.423,-5.133,1,0.115,178.029,0.553,GBPVV1702053
2RdEC8Ff83WkX7kDVCHseE,0.761,0.579,0.522,1.41e-05,1,0.655,-8.393,1,0.0993,79.453,0.245,GBAHS2000219
2mdEsXPu8ZmkHRRtAdC09e,0.814,0.294,0.337,0.414,6,0.14,-10.614,0,0.036,91.781,0.135,GBUM71903147
