label,track_id,spotify_title,spotify_artist,status,gsb_title,gsb_artist,gsb_tempo,gsb_danceability,gsb_acousticness
Like,54wX7jxwKL2TQS9itIIMyJ,Burn Alive,The Last Dinner Party,MISS,,,,,
Like,0I49aN2b9qfw1UWtctmNtr,Spring Is Coming With A Strawberry In The Mouth,Caroline Polachek,MISS,,,,,
Like,65qpo8Xop4WCkjGX2wjIAy,Chewing Gum,Amyl and The Sniffers,MISS,,,,,
Like,5fbQCQt91LsVgXusFS0CCD,Disorder - 2007 Remaster,Joy Division,MISS,,,,,
Like,73GeJojHqKJP8oHafhKxh6,She Way Out,The 1975,MATCH,She Way Out (Cid Rim remix),The 1975,116.0,0.5,0.01
Like,1huN927tTdSiwF90FBHXkT,Immaterial,SOPHIE,MISS,,,,,
Like,7cucVWdmNeaPJuo7WkxaZ8,Boys in the Better Land,Fontaines D.C.,MATCH,Boys in the Better Land,Fontaines D.C.,176.0,0.4,0.01
Neutral,49Hkgl03InFFqBklOQxunt,Half Mast,Empire Of The Sun,MATCH,Half Mast,Empire of the Sun,126.0,0.78,0.01
Neutral,68FuXWn3fGYMB7sJzdRHPz,Please Please Please Let Me Get What I Want - 2005 Remaster,Deftones,MISS,,,,,
Neutral,003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,MATCH,Mr. Brightside,The Killers,148.0,0.33,0.01
Neutral,0w5Bdu51Ka25Pf3hojsKHh,Hard Times,Paramore,MATCH,Hard Times,Paramore,119.0,0.7,0.01
Neutral,7B3BwNecBhKvNwSMOOl7Gk,Fame is a Gun,Addison Rae,MISS,,,,,
Neutral,0wu99QsiUQoR9coj3qY8Pa,Ring Doorbell,Magenta,MISS,,,,,
Neutral,2mdEsXPu8ZmkHRRtAdC09e,Cinnamon Girl,Lana Del Rey,MATCH,Cinnamon Girl,Lana Del Rey,67.0,0.3,0.84
Dislike,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,Taylor Swift,MATCH,Blank Space,Taylor Swift,96.0,0.76,0.09
Dislike,3v1d12O8WEj5H9eFID7HBn,HELICOPTER,A$AP Rocky,MISS,,,,,
Dislike,53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,Taylor Swift,MISS,,,,,
Dislike,6A18pcBX8QZGwI8EkR7aIP,Siren sounds (bonus),Tate McRae,MISS,,,,,
Dislike,0TFTAtCYhp2tQ9KcJIZb55,undressed,sombr,MISS,,,,,
Dislike,221eHga9f9Ne4f8D7WVgPT,Mystical Magical,Benson Boone,MISS,,,,,
Dislike,55hTqqpz8k2TNRLhHKbbDx,Gabriela,KATSEYE,MISS,,,,,
